06/02/2023 00:26:56, 127.0.0.1, /pages/testing
06/02/2023 00:27:04, 127.0.0.1, /pages/logs.csv
06/02/2023 00:28:40, 127.0.0.1, /caralhoooooo
06/02/2023 00:26:56, 127.0.0.1, /pages/testing
06/02/2023 00:27:04, 127.0.0.1, /pages/logs.csv
06/02/2023 00:28:40, 127.0.0.1, /caralhoooooo
06/02/2023 00:29:15, 127.0.0.1, /pages/logs.csv
06/02/2023 00:30:33, 127.0.0.1, /pages/logs.csv
06/02/2023 00:30:50, 127.0.0.1, /pages/logs.csv
06/02/2023 00:35:39, 127.0.0.1, /pages/logs.csv
06/02/2023 00:42:24, 127.0.0.1, /pages/logs.csv
06/02/2023 00:42:36, 127.0.0.1, /pages/logs.csv
06/02/2023 00:44:55, 127.0.0.1, /pages/logs.csv
06/02/2023 00:44:59, 127.0.0.1, /pages/logs.csv
06/02/2023 00:45:14, 127.0.0.1, /pages/bct
06/02/2023 00:46:26, 127.0.0.1, /pages/bct
06/02/2023 00:46:30, 127.0.0.1, /pages/logs.csv
06/02/2023 00:46:56, 127.0.0.1, /pages/logs.csv
06/02/2023 00:47:28, 127.0.0.1, /pages/logs.csv
06/02/2023 01:33:52, 127.0.0.1, /pages/image.jpg
2/20/2023, 7:49:27 AM, 189.72.123.210, /msg
2/20/2023, 7:49:28 AM, 189.72.123.210, /favicon.ico
2/20/2023, 7:50:03 AM, 189.72.123.210, /msg
2/20/2023, 7:50:46 AM, 189.72.123.210, /msg?msg=asdfjnsdjfbsdjfhbds
2/20/2023, 7:50:56 AM, 189.72.123.210, /msg?msg=enviandomsgdeteste
2/20/2023, 7:55:38 AM, 143.244.132.206, /
